Generation; Variation; Genome; Species; Parent; Score; Fitness; Power; Angle
2; 0.03333334; 3495; 1901; 3475; 1.137544; 0.2393434; 8.982006; 0.2786494
2; 0.03333334; 3496; 1930; -1; 0.6711526; -12.03798; 127.0914; 0.2939426
2; 0.03333334; 3483; 1923; -1; 0.4605491; 0.1818511; 2.78698; 0.2942957
2; 0.03333334; 3497; 1923; 3483; 0.5587041; 0.2741054; 2.845987; 0.2957676
2; 0.03333334; 3498; 1931; -1; -0.7323762; -1.06462; 3.322438; 0.2663998
2; 0.03333334; 3499; 1932; -1; -0.4984077; -17.04408; 165.4567; 0.2653631
2; 0.03333334; 3500; 1933; -1; -0.3234336; -0.6503862; 3.269526; 0.2735875
2; 0.03333334; 3501; 1934; -1; -0.8959243; -1.819144; 9.232195; 0.2659676
2; 0.03333334; 3502; 1935; -1; 1.452827; -39.69607; 411.4889; 0.2206462
2; 0.03333334; 3503; 1936; -1; 0.315156; -20.3456; 206.6076; 0.2650158
2; 0.03333334; 3504; 1937; -1; -13.1671; -40.03861; 268.7151; 0.1456344
2; 0.03333334; 3505; 1938; -1; 0.001293361; -15.67744; 156.7873; 0.2617282
3; 0.025; 3383; 976; 2886; 127.741; 109.6825; 180.5844; 0.1478189
3; 0.025; 3506; 976; 3383; 96.68467; 75.73956; 209.4511; 0.1031092
3; 0.025; 2886; 976; 2784; 122.9773; 104.1692; 188.0813; 0.5732605
3; 0.025; 3507; 976; 2886; 100.1927; 80.57139; 196.2128; 0.1443048
3; 0.025; 3508; 1939; -1; 1.362548; -4.358131; 57.20679; 0.2671175
3; 0.025; 3458; 1903; -1; 38.20927; 31.87231; 63.36957; 0.2426804
3; 0.025; 3509; 1903; 3458; 34.53893; 28.01832; 65.20611; 0.04782217
3; 0.025; 3491; 1903; 3458; 31.58791; 24.98744; 66.00468; 0.5316706
3; 0.025; 3510; 1903; 3491; 44.63493; -99962.63; 72.59113; 1.775462
3; 0.025; 3511; 1940; -1; -2.172414; -23.1214; 209.4899; 0.05645469
3; 0.025; 3456; 1901; -1; 1.149063; 0.8045015; 3.445612; 0.2783327
3; 0.025; 3512; 1901; 3456; 1.096877; 0.7534223; 3.434542; 0.2775764
3; 0.025; 3494; 1901; 3456; 1.134894; 0.7542894; 3.806041; 0.2788383
3; 0.025; 3513; 1901; 3494; 1.023329; 0.6600469; 3.632823; 0.2788196
3; 0.025; 3514; 1941; -1; -8.097499; -100027.6; 194.5721; 1.779861
3; 0.025; 3497; 1923; 3483; 0.5587041; 0.2741054; 2.845987; 0.2957676
3; 0.025; 3515; 1923; 3497; 0.4767609; 0.1945567; 2.822042; 0.292293
3; 0.025; 3483; 1923; -1; 0.4605491; 0.1818511; 2.78698; 0.2942957
3; 0.025; 3516; 1923; 3483; 0.4418546; 0.1420539; 2.998007; 0.290049
3; 0.025; 3517; 1942; -1; -4.778457; -92.48136; 877.0291; 0.2566759
3; 0.025; 3518; 1943; -1; -3.961893; -39.7428; 357.8091; 0.2890003
3; 0.025; 3519; 1944; -1; -0.2048275; -0.5181491; 3.133216; 0.2649088
3; 0.025; 3520; 1945; -1; -2.596008; -72.50916; 699.1315; 0.1772008
3; 0.025; 3521; 1946; -1; -0.286658; -0.5640109; 2.773529; 0.278558
3; 0.025; 3522; 1947; -1; -0.5530556; -0.8756144; 3.225588; 0.2723275
4; 0.02; 3383; 976; 2886; 127.741; 109.6825; 180.5844; 0.1478189
4; 0.02; 3523; 976; 3383; 94.60464; 76.00825; 185.964; 0.2374315
4; 0.02; 2886; 976; 2784; 122.9773; 104.1692; 188.0813; 0.5732605
4; 0.02; 3524; 976; 2886; 94.03506; 74.53152; 195.0355; 0.03073312
4; 0.02; 3525; 1948; -1; -10.57585; -32.15079; 215.7494; 0.2708319
4; 0.02; 3458; 1903; -1; 38.20927; 31.87231; 63.36957; 0.2426804
4; 0.02; 3526; 1903; 3458; 30.06902; 23.63598; 64.33037; 0.3645524
4; 0.02; 3509; 1903; 3458; 34.53893; 28.01832; 65.20611; 0.04782217
4; 0.02; 3527; 1903; 3509; 25.68308; 19.78567; 58.97412; 0.2862517
4; 0.02; 3528; 1949; -1; -4.707656; -62.9167; 582.0905; 0.2522232
4; 0.02; 3456; 1901; -1; 1.149063; 0.8045015; 3.445612; 0.2783327
4; 0.02; 3529; 1901; 3456; 1.303963; 0.9426691; 3.612936; 0.2780853
4; 0.02; 3494; 1901; 3456; 1.134894; 0.7542894; 3.806041; 0.2788383
4; 0.02; 3530; 1901; 3494; 1.140849; 0.7552106; 3.856384; 0.2788178
4; 0.02; 3531; 1950; -1; -0.5025538; -33.81773; 333.1518; 0.6317027
4; 0.02; 3497; 1923; 3483; 0.5587041; 0.2741054; 2.845987; 0.2957676
4; 0.02; 3532; 1923; 3497; 0.5020565; 0.2110857; 2.909709; 0.2930079
4; 0.02; 3515; 1923; 3497; 0.4767609; 0.1945567; 2.822042; 0.292293
4; 0.02; 3533; 1923; 3515; 0.4656216; 0.1772344; 2.883872; 0.2917933
4; 0.02; 3534; 1951; -1; -2.223164; -6.342027; 41.18863; 0.2806251
4; 0.02; 3535; 1952; -1; 1.402621; 0.9721707; 4.304499; 0.2610902
4; 0.02; 3536; 1953; -1; -13.36059; -62.99475; 496.3417; 0.2657719
4; 0.02; 3537; 1954; -1; -2.697849; -6.932375; 42.34526; 0.2773965
4; 0.02; 3538; 1955; -1; 5.143443; -121.6342; 1267.776; 0.2638248
4; 0.02; 3539; 1956; -1; 2.283576; -38.69967; 409.8325; 0.2507246
5; 0.01666667; 3383; 976; 2886; 127.741; 109.6825; 180.5844; 0.1478189
5; 0.01666667; 3540; 976; 3383; 115.1832; 96.65588; 185.2728; 0.09871294
5; 0.01666667; 2886; 976; 2784; 122.9773; 104.1692; 188.0813; 0.5732605
5; 0.01666667; 3541; 976; 2886; 95.10515; 75.78472; 193.2043; 0.1766103
5; 0.01666667; 3542; 1957; -1; 2.624432; -100001.6; 42.63181; 1.828899
5; 0.01666667; 3458; 1903; -1; 38.20927; 31.87231; 63.36957; 0.2426804
5; 0.01666667; 3543; 1903; 3458; 45.7399; 39.25493; 64.84971; 0.9327486
5; 0.01666667; 3509; 1903; 3458; 34.53893; 28.01832; 65.20611; 0.04782217
5; 0.01666667; 3544; 1903; 3509; 25.59937; -99981.75; 73.52207; 1.652296
5; 0.01666667; 3545; 1958; -1; 12.35162; -69.86051; 822.1213; 0.2769548
5; 0.01666667; 3535; 1952; -1; 1.402621; 0.9721707; 4.304499; 0.2610902
5; 0.01666667; 3546; 1952; 3535; 1.328687; 0.9054982; 4.231889; 0.2611496
5; 0.01666667; 3547; 1959; -1; -1.068571; -43.8558; 427.8723; 0.2594075
5; 0.01666667; 3548; 1960; -1; -0.1261196; -7.187896; 70.61777; 0.2653942
5; 0.01666667; 3549; 1961; -1; 7.379492; -99996.23; 36.09478; 2.068003
5; 0.01666667; 3529; 1901; 3456; 1.303963; 0.9426691; 3.612936; 0.2780853
5; 0.01666667; 3550; 1901; 3529; 0.9697065; 0.6458215; 3.23885; 0.2789893
5; 0.01666667; 3456; 1901; -1; 1.149063; 0.8045015; 3.445612; 0.2783327
5; 0.01666667; 3551; 1901; 3456; 1.35919; 1.009487; 3.497033; 0.2796166
5; 0.01666667; 3552; 1962; -1; -1.256078; -112.5937; 1113.376; 0.2685496
5; 0.01666667; 3553; 1963; -1; -0.6461338; -99.93781; 992.9167; 0.2708115
5; 0.01666667; 3554; 1964; -1; -11.69696; -13.20735; 15.10382; 0.2486796
5; 0.01666667; 3555; 1965; -1; -7.40974; -98.02517; 906.1543; 0.02324651
5; 0.01666667; 3556; 1966; -1; 23.16688; 18.61058; 45.56296; 0.09895355
5; 0.01666667; 3557; 1967; -1; -0.1407093; -23.7719; 236.312; 0.267702
6; 0.01428571; 3383; 976; 2886; 127.741; 109.6825; 180.5844; 0.1478189
6; 0.01428571; 3558; 976; 3383; 82.98579; 61.71386; 212.7194; 0.1939209
6; 0.01428571; 2886; 976; 2784; 122.9773; 104.1692; 188.0813; 0.5732605
6; 0.01428571; 3559; 976; 2886; 98.66369; 78.64332; 200.2037; 0.0385818
6; 0.01428571; 3560; 1968; -1; 20.79304; -100056.9; 777.4061; 1.906012
6; 0.01428571; 3543; 1903; 3458; 45.7399; 39.25493; 64.84971; 0.9327486
6; 0.01428571; 3561; 1903; 3543; 9.265403; -99996.82; 60.8319; 1.854516
6; 0.01428571; 3458; 1903; -1; 38.20927; 31.87231; 63.36957; 0.2426804
6; 0.01428571; 3562; 1903; 3458; 44.41481; 38.23946; 61.75359; 0.7595845
6; 0.01428571; 3563; 1969; -1; 0.4921468; -33.36134; 338.5349; 0.265234
6; 0.01428571; 3556; 1966; -1; 23.16688; 18.61058; 45.56296; 0.09895355
6; 0.01428571; 3564; 1966; 3556; 47.49798; 43.99221; 35.05768; 0.5931615
6; 0.01428571; 3565; 1970; -1; 1.364468; -130.5987; 1319.631; 0.2759883
6; 0.01428571; 3566; 1971; -1; 16.95854; -88.008; 1049.665; 0.4740934
6; 0.01428571; 3567; 1972; -1; -1.540259; -13.86484; 123.2458; 0.269269
6; 0.01428571; 3551; 1901; 3456; 1.35919; 1.009487; 3.497033; 0.2796166
6; 0.01428571; 3568; 1901; 3551; 1.031217; 0.6831584; 3.480586; 0.2788876
6; 0.01428571; 3529; 1901; 3456; 1.303963; 0.9426691; 3.612936; 0.2780853
6; 0.01428571; 3569; 1901; 3529; 0.726609; 0.4107767; 3.158323; 0.2790017
6; 0.01428571; 3570; 1973; -1; 0.2684027; -0.3989486; 6.673513; 0.2723891
6; 0.01428571; 3571; 1974; -1; -0.124029; -14.53132; 144.0729; 0.2353366
6; 0.01428571; 3572; 1975; -1; 4.051733; -149.9139; 1539.657; 0.1573339
6; 0.01428571; 3573; 1976; -1; -9.984131; -67.8269; 578.4277; 0.2265041
6; 0.01428571; 3574; 1977; -1; 19.12787; -99985.87; 49.9642; 1.905618
