Variation; Generation; Genome; Parent; Score
0.0001;2;1136; 1078; 45.90574
0.0001;2;1078; -1; 47.02996
0.0001;2;1092; -1; 51.1674
0.0001;2;1137; 1092; 51.60501
0.0001;2;1113; -1; 55.84356
0.0001;2;1138; 1113; 55.84935
0.0001;3;1164; 1131; 31.55416
0.0001;3;1165; 1149; 24.44564
0.0001;3;1166; 1150; 8.493456
0.0001;3;1167; 816; 23.56062
0.0001;3;1168; 673; 33.29572
0.0001;3;1169; 707; 28.99522
0.0001;3;1170; 983; -4.570521
0.0001;3;1171; 612; 5.165033
0.0001;3;1172; 1134; 22.63496
0.0001;3;1173; 1157; 44.50414
0.0001;3;1174; 1156; 44.52673
0.0001;3;1175; 1135; 44.5061
0.0001;3;1176; 1107; 42.72578
0.0001;3;1177; 1160; 51.63188
0.0001;3;1178; 1136; 47.25841
0.0001;3;1179; 1158; 47.26454
0.0001;3;1180; 1159; 47.01327
0.0001;3;1181; 1078; 47.02385
0.0001;3;1182; 1092; 50.67689
0.0001;3;1183; 1161; 51.16967
0.0001;3;1184; 1137; 51.1095
0.0001;3;1185; 1162; 55.80363
0.0001;3;1186; 1163; 55.80763
0.0001;3;1187; 1113; 55.8604
0.0001;3;1188; 1138; 55.83153
0.0001;3;1131; 673; 32.71477
0.0001;3;1149; 1131; 33.1824
0.0001;3;1150; 816; 33.26049
0.0001;3;816; 707; 33.2927
0.0001;3;673; 643; 33.37976
0.0001;3;707; 612; 33.71551
0.0001;3;983; 732; 34.45084
0.0001;3;612; 584; 34.80486
0.0001;3;1134; 612; 35.24277
0.0001;3;1157; 1107; 42.73587
0.0001;3;1156; 1135; 44.0674
0.0001;3;1135; 1107; 44.07971
0.0001;3;1107; -1; 44.51425
0.0001;3;1160; 1092; 45.27893
0.0001;3;1136; 1078; 45.90574
0.0001;3;1158; 1136; 46.85251
0.0001;3;1159; 1078; 47.00531
0.0001;3;1078; -1; 47.02996
0.0001;3;1092; -1; 51.1674
0.0001;3;1161; 1137; 51.17051
0.0001;3;1137; 1092; 51.60501
0.0001;3;1162; 1113; 55.74956
0.0001;3;1163; 1138; 55.82476
0.0001;3;1113; -1; 55.84356
0.0001;3;1138; 1113; 55.84935
0.0001;4;1189; 1174; 44.5081
0.0001;4;1190; 1160; 50.90808
0.0001;4;1191; 1136; 46.81221
0.0001;4;1192; 1158; 47.0382
0.0001;4;1193; 1159; 47.75791
0.0001;4;1194; 1180; 47.21428
0.0001;4;1195; 1181; 46.6104
0.0001;4;1196; 1078; 47.03776
0.0001;4;1197; 1178; 46.4788
0.0001;4;1198; 1179; 46.8734
0.0001;4;1199; 1182; 51.17095
0.0001;4;1200; 1184; 50.67628
0.0001;4;1201; 1092; 51.68254
0.0001;4;1202; 1183; 50.67174
0.0001;4;1203; 1161; 51.63073
0.0001;4;1204; 1137; 51.70203
0.0001;4;1205; 1177; 46.53344
0.0001;4;1206; 1162; 55.87462
0.0001;4;1207; 1185; 55.54667
0.0001;4;1208; 1186; 55.50623
0.0001;4;1209; 1163; 55.84702
0.0001;4;1210; 1188; 55.82836
0.0001;4;1211; 1113; 55.87729
0.0001;4;1212; 1138; 55.81528
0.0001;4;1213; 1187; 55.77066
0.0001;4;1174; 1156; 44.52673
0.0001;4;1160; 1092; 45.27893
0.0001;4;1136; 1078; 45.90574
0.0001;4;1158; 1136; 46.85251
0.0001;4;1159; 1078; 47.00531
0.0001;4;1180; 1159; 47.01327
0.0001;4;1181; 1078; 47.02385
0.0001;4;1078; -1; 47.02996
0.0001;4;1178; 1136; 47.25841
0.0001;4;1179; 1158; 47.26454
0.0001;4;1182; 1092; 50.67689
0.0001;4;1184; 1137; 51.1095
0.0001;4;1092; -1; 51.1674
0.0001;4;1183; 1161; 51.16967
0.0001;4;1161; 1137; 51.17051
0.0001;4;1137; 1092; 51.60501
0.0001;4;1177; 1160; 51.63188
0.0001;4;1162; 1113; 55.74956
0.0001;4;1185; 1162; 55.80363
0.0001;4;1186; 1163; 55.80763
0.0001;4;1163; 1138; 55.82476
0.0001;4;1188; 1138; 55.83153
0.0001;4;1113; -1; 55.84356
0.0001;4;1138; 1113; 55.84935
0.0001;4;1187; 1113; 55.8604
0.0001;5;1214; 1092; 45.26671
0.0001;5;1215; 1183; 51.59822
0.0001;5;1216; 1161; 51.11615
0.0001;5;1217; 1199; 45.70667
0.0001;5;1218; 1137; 51.65213
0.0001;5;1219; 1203; 51.60117
0.0001;5;1220; 1177; 46.51706
0.0001;5;1221; 1201; 50.36775
0.0001;5;1222; 1204; 45.74286
0.0001;5;1223; 1208; 55.87243
0.0001;5;1224; 1207; 55.66267
0.0001;5;1225; 1162; 55.86463
0.0001;5;1226; 1213; 55.68422
0.0001;5;1227; 1185; 55.73167
0.0001;5;1228; 1186; 55.79528
0.0001;5;1229; 1212; 55.76197
0.0001;5;1230; 1163; 55.73199
0.0001;5;1231; 1210; 55.81301
0.0001;5;1232; 1188; 55.79309
0.0001;5;1233; 1113; 55.80635
0.0001;5;1234; 1209; 55.84475
0.0001;5;1235; 1138; 55.82408
0.0001;5;1236; 1187; 55.90492
0.0001;5;1237; 1206; 55.8996
0.0001;5;1238; 1211; 55.85265
0.0001;5;1092; -1; 51.1674
0.0001;5;1183; 1161; 51.16967
0.0001;5;1161; 1137; 51.17051
0.0001;5;1199; 1182; 51.17095
0.0001;5;1137; 1092; 51.60501
0.0001;5;1203; 1161; 51.63073
0.0001;5;1177; 1160; 51.63188
0.0001;5;1201; 1092; 51.68254
0.0001;5;1204; 1137; 51.70203
0.0001;5;1208; 1186; 55.50623
0.0001;5;1207; 1185; 55.54667
0.0001;5;1162; 1113; 55.74956
0.0001;5;1213; 1187; 55.77066
0.0001;5;1185; 1162; 55.80363
0.0001;5;1186; 1163; 55.80763
0.0001;5;1212; 1138; 55.81528
0.0001;5;1163; 1138; 55.82476
0.0001;5;1210; 1188; 55.82836
0.0001;5;1188; 1138; 55.83153
0.0001;5;1113; -1; 55.84356
0.0001;5;1209; 1163; 55.84702
0.0001;5;1138; 1113; 55.84935
0.0001;5;1187; 1113; 55.8604
0.0001;5;1206; 1162; 55.87462
0.0001;5;1211; 1113; 55.87729
0.0001;6;1239; 1229; 55.778
0.0001;6;1240; 1213; 55.71627
0.0001;6;1241; 1232; 55.78931
0.0001;6;1242; 1228; 55.89071
0.0001;6;1243; 1185; 55.74933
0.0001;6;1244; 1233; 55.78922
0.0001;6;1245; 1186; 55.87659
0.0001;6;1246; 1231; 55.90736
0.0001;6;1247; 1212; 55.69674
0.0001;6;1248; 1235; 55.86209
0.0001;6;1249; 1163; 55.78799
0.0001;6;1250; 1210; 55.57297
0.0001;6;1251; 1188; 55.92574
0.0001;6;1252; 1113; 55.84015
0.0001;6;1253; 1234; 55.79625
0.0001;6;1254; 1209; 55.80577
0.0001;6;1255; 1138; 55.8005
0.0001;6;1256; 1238; 55.87561
0.0001;6;1257; 1187; 55.84872
0.0001;6;1258; 1225; 55.63499
0.0001;6;1259; 1223; 55.8223
0.0001;6;1260; 1206; 55.83343
0.0001;6;1261; 1211; 55.83
0.0001;6;1262; 1237; 55.84663
0.0001;6;1263; 1236; 55.76215
0.0001;6;1229; 1212; 55.76197
0.0001;6;1213; 1187; 55.77066
0.0001;6;1232; 1188; 55.79309
0.0001;6;1228; 1186; 55.79528
0.0001;6;1185; 1162; 55.80363
0.0001;6;1233; 1113; 55.80635
0.0001;6;1186; 1163; 55.80763
0.0001;6;1231; 1210; 55.81301
0.0001;6;1212; 1138; 55.81528
0.0001;6;1235; 1138; 55.82408
0.0001;6;1163; 1138; 55.82476
0.0001;6;1210; 1188; 55.82836
0.0001;6;1188; 1138; 55.83153
0.0001;6;1113; -1; 55.84356
0.0001;6;1234; 1209; 55.84475
0.0001;6;1209; 1163; 55.84702
0.0001;6;1138; 1113; 55.84935
0.0001;6;1238; 1211; 55.85265
0.0001;6;1187; 1113; 55.8604
0.0001;6;1225; 1162; 55.86463
0.0001;6;1223; 1208; 55.87243
0.0001;6;1206; 1162; 55.87462
0.0001;6;1211; 1113; 55.87729
0.0001;6;1237; 1206; 55.8996
0.0001;6;1236; 1187; 55.90492
0.0001;7;1264; 1210; 55.71649
0.0001;7;1265; 1261; 55.76001
0.0001;7;1266; 1188; 55.80505
0.0001;7;1267; 1260; 55.83473
0.0001;7;1268; 1252; 55.90265
0.0001;7;1269; 1113; 55.56417
0.0001;7;1270; 1234; 55.80867
0.0001;7;1271; 1262; 55.71541
0.0001;7;1272; 1209; 55.86174
0.0001;7;1273; 1257; 55.85873
0.0001;7;1274; 1138; 55.94846
0.0001;7;1275; 1238; 55.83529
0.0001;7;1276; 1187; 55.74802
0.0001;7;1277; 1248; 55.83727
0.0001;7;1278; 1225; 55.8661
0.0001;7;1279; 1223; 55.89554
0.0001;7;1280; 1206; 55.7686
0.0001;7;1281; 1256; 55.68073
0.0001;7;1282; 1245; 55.48967
0.0001;7;1283; 1211; 55.78585
0.0001;7;1284; 1242; 55.81601
0.0001;7;1285; 1237; 55.8284
0.0001;7;1286; 1236; 55.38015
0.0001;7;1287; 1246; 55.89862
0.0001;7;1288; 1251; 55.80116
0.0001;7;1210; 1188; 55.82836
0.0001;7;1261; 1211; 55.83
0.0001;7;1188; 1138; 55.83153
0.0001;7;1260; 1206; 55.83343
0.0001;7;1252; 1113; 55.84015
0.0001;7;1113; -1; 55.84356
0.0001;7;1234; 1209; 55.84475
0.0001;7;1262; 1237; 55.84663
0.0001;7;1209; 1163; 55.84702
0.0001;7;1257; 1187; 55.84872
0.0001;7;1138; 1113; 55.84935
0.0001;7;1238; 1211; 55.85265
0.0001;7;1187; 1113; 55.8604
0.0001;7;1248; 1235; 55.86209
0.0001;7;1225; 1162; 55.86463
0.0001;7;1223; 1208; 55.87243
0.0001;7;1206; 1162; 55.87462
0.0001;7;1256; 1238; 55.87561
0.0001;7;1245; 1186; 55.87659
0.0001;7;1211; 1113; 55.87729
0.0001;7;1242; 1228; 55.89071
0.0001;7;1237; 1206; 55.8996
0.0001;7;1236; 1187; 55.90492
0.0001;7;1246; 1231; 55.90736
0.0001;7;1251; 1188; 55.92574
0.0001;8;1289; 1262; 55.69824
0.0001;8;1290; 1209; 55.63109
0.0001;8;1291; 1257; 55.79233
0.0001;8;1292; 1138; 55.92767
0.0001;8;1293; 1238; 55.84656
0.0001;8;1294; 1273; 55.68149
0.0001;8;1295; 1187; 55.78755
0.0001;8;1296; 1272; 55.80534
0.0001;8;1297; 1248; 55.81071
0.0001;8;1298; 1225; 55.86422
0.0001;8;1299; 1278; 55.73774
0.0001;8;1300; 1223; 55.7531
0.0001;8;1301; 1206; 55.91985
0.0001;8;1302; 1256; 55.81117
0.0001;8;1303; 1245; 55.85272
0.0001;8;1304; 1211; 55.85217
0.0001;8;1305; 1242; 55.55972
0.0001;8;1306; 1279; 55.89188
0.0001;8;1307; 1287; 55.77788
0.0001;8;1308; 1237; 55.85402
0.0001;8;1309; 1268; 55.80717
0.0001;8;1310; 1236; 55.82254
0.0001;8;1311; 1246; 55.8237
0.0001;8;1312; 1251; 55.71258
0.0001;8;1313; 1274; 55.89023
0.0001;8;1262; 1237; 55.84663
0.0001;8;1209; 1163; 55.84702
0.0001;8;1257; 1187; 55.84872
0.0001;8;1138; 1113; 55.84935
0.0001;8;1238; 1211; 55.85265
0.0001;8;1273; 1257; 55.85873
0.0001;8;1187; 1113; 55.8604
0.0001;8;1272; 1209; 55.86174
0.0001;8;1248; 1235; 55.86209
0.0001;8;1225; 1162; 55.86463
0.0001;8;1278; 1225; 55.8661
0.0001;8;1223; 1208; 55.87243
0.0001;8;1206; 1162; 55.87462
0.0001;8;1256; 1238; 55.87561
0.0001;8;1245; 1186; 55.87659
0.0001;8;1211; 1113; 55.87729
0.0001;8;1242; 1228; 55.89071
0.0001;8;1279; 1223; 55.89554
0.0001;8;1287; 1246; 55.89862
0.0001;8;1237; 1206; 55.8996
0.0001;8;1268; 1252; 55.90265
0.0001;8;1236; 1187; 55.90492
0.0001;8;1246; 1231; 55.90736
0.0001;8;1251; 1188; 55.92574
0.0001;8;1274; 1138; 55.94846
0.0001;9;1314; 1273; 55.74115
0.0001;9;1315; 1187; 55.82965
0.0001;9;1316; 1272; 55.86802
0.0001;9;1317; 1248; 55.8421
0.0001;9;1318; 1298; 55.73168
0.0001;9;1319; 1225; 55.87364
0.0001;9;1320; 1278; 55.8655
0.0001;9;1321; 1223; 55.86819
0.0001;9;1322; 1206; 55.80035
0.0001;9;1323; 1256; 55.94246
0.0001;9;1324; 1245; 55.48326
0.0001;9;1325; 1211; 55.85012
0.0001;9;1326; 1313; 55.8519
0.0001;9;1327; 1242; 55.85756
0.0001;9;1328; 1306; 55.83783
0.0001;9;1329; 1279; 55.67349
0.0001;9;1330; 1287; 55.80177
0.0001;9;1331; 1237; 55.78664
0.0001;9;1332; 1268; 55.77174
0.0001;9;1333; 1236; 55.65947
0.0001;9;1334; 1246; 55.74827
0.0001;9;1335; 1301; 55.91016
0.0001;9;1336; 1251; 55.86119
0.0001;9;1337; 1292; 55.70484
0.0001;9;1338; 1274; 55.83081
0.0001;9;1273; 1257; 55.85873
0.0001;9;1187; 1113; 55.8604
0.0001;9;1272; 1209; 55.86174
0.0001;9;1248; 1235; 55.86209
0.0001;9;1298; 1225; 55.86422
0.0001;9;1225; 1162; 55.86463
0.0001;9;1278; 1225; 55.8661
0.0001;9;1223; 1208; 55.87243
0.0001;9;1206; 1162; 55.87462
0.0001;9;1256; 1238; 55.87561
0.0001;9;1245; 1186; 55.87659
0.0001;9;1211; 1113; 55.87729
0.0001;9;1313; 1274; 55.89023
0.0001;9;1242; 1228; 55.89071
